date,open,high,low,close,volume
2000-01-03,16.75,17.12,16.75,16.88,45100
2000-01-04,16.94,16.94,16.5,16.5,55500
2000-01-05,16.5,16.81,16.5,16.81,37400
2000-01-06,16.81,17.44,16.75,17.44,31100
2000-01-07,17.31,17.44,17.19,17.38,31200
2000-01-10,17.31,17.31,16.62,16.94,34500
2000-01-11,16.88,16.88,16.44,16.69,54500
2000-01-12,16.75,16.88,16.62,16.69,39300
2000-01-13,16.56,16.81,16.44,16.44,19200
2000-01-14,16.31,16.31,15.56,15.56,16700
2000-01-18,15.5,16.0,15.38,15.75,67200
2000-01-19,15.81,16.94,15.81,16.75,59200
2000-01-20,16.81,16.81,16.0,16.0,81500
2000-01-21,16.0,16.0,15.75,15.94,34000
2000-01-24,15.88,15.88,15.44,15.62,90000
2000-01-25,15.56,15.56,14.75,14.94,167700
2000-01-26,15.0,15.0,14.69,14.88,1468900
2000-01-27,14.94,15.0,14.88,15.0,20000
2000-01-28,14.94,15.0,14.88,15.0,62500
2000-01-31,15.06,15.06,14.94,15.0,26700
2000-02-01,15.0,15.0,14.81,14.94,40000
2000-02-02,14.94,14.94,14.75,14.94,17500
2000-02-03,15.0,15.0,14.75,14.75,26500
2000-02-04,14.75,14.94,14.56,14.81,66200
2000-02-07,15.0,15.0,14.88,15.0,162900
2000-02-08,15.0,15.0,14.75,14.88,47600
2000-02-09,14.94,14.94,14.75,14.81,8700
2000-02-10,14.75,14.75,14.5,14.5,32300
2000-02-11,14.75,14.75,14.5,14.5,93600
2000-02-14,14.56,14.75,14.56,14.56,231100
2000-02-15,14.62,14.62,14.5,14.5,20300
2000-02-16,14.56,14.81,14.56,14.75,33800
2000-02-17,14.75,14.75,14.69,14.75,95900
2000-02-18,14.69,14.69,14.25,14.25,29700
2000-02-22,14.19,14.19,13.94,13.94,13700
2000-02-23,14.0,14.06,13.94,14.0,12600
2000-02-24,14.0,14.19,14.0,14.12,54500
2000-02-25,14.12,14.25,14.12,14.19,31400
2000-02-28,14.19,14.44,14.12,14.38,22900
2000-02-29,14.25,14.31,14.19,14.25,19000
2000-03-01,14.19,14.38,14.12,14.31,35900
2000-03-02,14.25,14.69,14.25,14.56,318200
2000-03-03,14.38,15.0,14.38,14.75,77000
2000-03-06,14.75,14.75,14.31,14.44,44200
2000-03-07,14.44,14.5,14.25,14.25,19400
2000-03-08,14.38,14.38,14.19,14.38,30200
2000-03-09,14.31,14.44,13.88,13.88,160700
2000-03-10,14.06,14.38,13.75,14.38,47200
2000-03-13,14.0,14.12,13.94,14.12,30400
2000-03-14,14.25,14.75,14.25,14.69,66100
2000-03-15,14.81,15.12,14.81,15.12,116200
2000-03-16,15.12,15.44,15.0,15.44,107100
2000-03-17,15.44,15.56,15.38,15.5,21000
