date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,17.75,17.88,17.31,17.38,3833200,1.0,0.0
2000-01-04,17.31,18.0,17.13,17.31,4736900,1.0,0.0
2000-01-05,17.25,17.63,17.19,17.31,2676000,1.0,0.0
2000-01-06,17.38,17.38,16.69,17.25,2428500,1.0,0.0
2000-01-07,17.19,17.25,16.5,16.56,2461900,1.0,0.0
2000-01-10,16.88,16.88,16.38,16.63,2145600,1.0,0.0
2000-01-11,16.56,16.62,16.12,16.44,1388000,1.0,0.0
2000-01-12,16.38,16.88,16.38,16.81,1638400,1.0,0.0
2000-01-13,16.81,17.38,16.75,16.94,2438200,1.0,0.0
2000-01-14,16.94,16.94,16.63,16.75,1205700,1.0,0.0
2000-01-18,16.88,17.06,16.69,16.75,1922400,1.0,0.0
2000-01-19,16.94,17.25,16.81,17.13,1665300,1.0,0.0
2000-01-20,17.06,17.13,16.56,16.75,1770300,1.0,0.0
2000-01-21,17.06,17.06,16.56,16.63,2491100,1.0,0.0
2000-01-24,16.75,16.88,16.19,16.31,1929700,1.0,0.0
2000-01-25,16.13,16.5,15.75,16.06,2462900,1.0,0.0
2000-01-26,16.5,17.0,16.31,16.56,2689000,1.0,0.0
2000-01-27,17.06,17.81,16.81,17.31,3919100,1.0,0.0
2000-01-28,17.63,18.06,17.38,17.69,4148000,1.0,0.0
2000-01-31,17.75,18.0,17.38,17.5,4220800,1.0,0.0
2000-02-01,17.5,17.69,17.13,17.5,2508200,1.0,0.0
2000-02-02,17.5,17.63,17.25,17.38,3076400,1.0,0.0
2000-02-03,17.63,18.5,17.38,18.13,3936100,1.0,0.0
2000-02-04,18.25,18.31,17.5,17.81,2430000,1.0,0.0
2000-02-07,17.81,17.81,17.38,17.38,1812700,1.0,0.0
2000-02-08,17.56,17.63,16.5,16.75,2746800,1.0,0.0
2000-02-09,17.0,17.0,16.0,16.31,2866300,1.0,0.0
2000-02-10,16.31,16.31,14.63,15.0,8920800,1.0,0.0
2000-02-11,15.13,15.31,13.88,14.5,7279600,1.0,0.0
2000-02-14,14.56,15.13,14.13,14.69,1886600,1.0,0.0
2000-02-15,14.88,14.94,14.13,14.56,3668100,1.0,0.0
2000-02-16,14.5,15.25,14.19,14.5,3947000,1.0,0.0
2000-02-17,15.44,15.94,14.94,15.88,2847000,1.0,0.0
2000-02-18,15.75,15.81,15.44,15.5,2752600,1.0,0.0
2000-02-22,15.75,16.25,15.75,16.13,4359300,1.0,0.0
2000-02-23,16.13,16.25,15.75,15.75,4033200,1.0,0.0
2000-02-24,15.94,16.0,15.5,15.75,3297300,1.0,0.0
2000-02-25,15.31,15.69,15.19,15.25,2252500,1.0,0.0
2000-02-28,15.31,15.44,14.81,15.0,1811500,1.0,0.0
2000-02-29,15.13,15.19,14.75,15.0,2533900,1.0,0.0
2000-03-01,15.13,15.25,14.63,14.75,2881500,1.0,0.0
2000-03-02,15.0,15.0,14.38,14.5,2083600,1.0,0.0
2000-03-03,14.81,14.81,14.5,14.63,2996500,1.0,0.0
2000-03-06,14.63,14.69,14.13,14.19,2744400,1.0,0.0
2000-03-07,14.31,14.38,13.88,13.94,3043900,1.0,0.0
2000-03-08,13.94,14.19,13.75,13.94,2411500,1.0,0.0
2000-03-09,13.94,14.06,13.69,13.94,2159000,1.0,0.0
2000-03-10,13.94,14.19,13.63,14.0,3602400,1.0,0.0
2000-03-13,13.94,14.06,13.75,13.94,2257200,1.0,0.0
2000-03-14,13.81,13.94,13.0,13.25,2965900,1.0,0.0
2000-03-15,13.25,13.44,13.06,13.25,2452900,1.0,0.0
2000-03-16,13.56,13.56,13.0,13.44,4848300,1.0,0.0
2000-03-17,13.75,14.75,13.44,14.25,6011700,1.0,0.0
2000-03-20,14.0,14.44,13.63,14.38,1771000,1.0,0.0
2000-03-21,14.38,14.44,13.88,13.94,2576000,1.0,0.0
2000-03-22,13.69,14.06,13.63,14.0,3040500,1.0,0.0
2000-03-23,13.94,14.38,13.94,14.0,2885500,1.0,0.0
2000-03-24,13.88,14.0,13.31,13.56,3613400,1.0,0.0
2000-03-27,13.5,14.38,13.5,14.25,3566100,1.0,0.0
2000-03-28,14.25,14.25,13.06,13.06,3799700,1.0,0.0
2000-03-29,13.81,14.25,13.38,14.13,4698100,1.0,0.0
2000-03-30,14.19,14.19,13.75,13.81,4463300,1.0,0.0
2000-03-31,13.81,13.88,13.56,13.69,3595100,1.0,0.0
2000-04-03,13.88,14.25,13.5,14.19,2803700,1.0,0.0
2000-04-04,14.19,14.69,13.75,14.25,3690700,1.0,0.0
2000-04-05,14.0,14.25,13.75,13.81,1772500,1.0,0.0
2000-04-06,13.88,14.69,13.81,14.31,1981700,1.0,0.0
2000-04-07,14.44,15.19,14.44,14.94,2653100,1.0,0.0
2000-04-10,15.06,15.69,15.06,15.56,3091200,1.0,0.0
2000-04-11,15.44,15.5,14.88,15.31,1919800,1.0,0.0
2000-04-12,15.31,15.38,14.69,15.25,2009700,1.0,0.0
2000-04-13,15.13,15.19,14.56,14.56,1606200,1.0,0.0
2000-04-14,14.31,14.5,13.75,13.81,3181500,1.0,0.0
2000-04-17,13.81,13.88,13.31,13.5,2824700,1.0,0.0
2000-04-18,13.63,14.31,13.63,14.31,2441300,1.0,0.0
2000-04-19,14.31,14.31,13.81,13.88,1697700,1.0,0.0
2000-04-20,13.94,14.06,13.81,14.0,2278500,1.0,0.0
2000-04-24,14.0,14.88,13.94,14.81,2983400,1.0,0.0
2000-04-25,15.0,15.44,14.38,15.06,2445600,1.0,0.0
2000-04-26,15.19,15.44,15.06,15.06,1640400,1.0,0.0
2000-04-27,15.13,15.13,14.56,14.94,2388100,1.0,0.0
2000-04-28,15.06,16.31,15.06,16.0,3653300,1.0,0.0
2000-05-01,16.06,16.5,15.81,15.81,1969600,1.0,0.0
2000-05-02,15.81,15.81,15.44,15.44,1386900,1.0,0.0
2000-05-03,15.38,15.44,14.69,14.81,1306000,1.0,0.0
2000-05-04,14.94,15.13,14.69,14.94,1577200,1.0,0.0
2000-05-05,15.0,16.06,14.88,15.75,2290800,1.0,0.0
2000-05-08,15.63,15.94,15.44,15.5,1894300,1.0,0.0
2000-05-09,15.44,15.56,14.75,15.0,1278100,1.0,0.0
2000-05-10,15.0,15.25,14.81,15.0,1137600,1.0,0.0
2000-05-11,16.69,19.0,15.75,18.94,12046700,1.0,0.0
2000-05-12,18.81,19.44,18.13,19.19,4319500,1.0,0.0
2000-05-15,18.94,19.44,18.56,18.81,2361800,1.0,0.0
2000-05-16,18.69,19.25,18.44,18.75,2037600,1.0,0.0
2000-05-17,18.63,18.88,18.44,18.75,1142200,1.0,0.0
2000-05-18,18.69,18.75,18.19,18.38,1599900,1.0,0.0
2000-05-19,18.06,18.38,17.69,18.25,1912100,1.0,0.0
2000-05-22,18.38,18.44,18.0,18.25,2173700,1.0,0.0
2000-05-23,18.25,18.94,18.13,18.81,1534700,1.0,0.0
2000-05-24,18.88,19.13,18.38,18.88,2268900,1.0,0.0
2000-05-25,18.69,19.75,18.31,19.44,2830200,1.0,0.0
2000-05-26,19.81,20.5,19.81,20.38,3112800,1.0,0.0
2000-05-30,20.13,20.38,19.88,20.25,2131900,1.0,0.0
2000-05-31,20.25,20.88,19.94,20.38,2184600,1.0,0.0
2000-06-01,20.44,20.63,19.88,20.31,2578800,1.0,0.0
2000-06-02,20.25,20.31,19.0,19.31,2465300,1.0,0.0
2000-06-05,19.44,20.19,19.25,19.88,1612900,1.0,0.0
2000-06-06,19.5,19.63,19.06,19.38,1325200,1.0,0.0
2000-06-07,19.25,19.56,19.19,19.31,1016500,1.0,0.0
2000-06-08,19.06,19.13,18.44,18.56,1672100,1.0,0.0
2000-06-09,18.63,19.13,18.5,19.13,1295200,1.0,0.0
2000-06-12,19.25,19.69,18.94,19.13,1287300,1.0,0.0
2000-06-13,18.69,18.88,18.0,18.38,1892500,1.0,0.0
2000-06-14,18.38,18.63,18.19,18.25,2204500,1.0,0.0
2000-06-15,18.25,18.31,17.69,17.88,2042200,1.0,0.0
2000-06-16,17.81,17.81,17.19,17.44,1812900,1.0,0.0
2000-06-19,17.56,18.13,17.44,17.88,1874100,1.0,0.0
2000-06-20,17.94,17.94,17.38,17.69,1248600,1.0,0.0
2000-06-21,17.63,18.13,17.13,17.81,2178800,1.0,0.0
2000-06-22,17.56,18.0,17.31,17.69,1315600,1.0,0.0
2000-06-23,17.63,17.63,17.0,17.13,1028200,1.0,0.0
2000-06-26,17.38,17.69,17.19,17.44,1415000,1.0,0.0
2000-06-27,17.44,18.44,17.38,17.5,2870100,1.0,0.0
2000-06-28,17.25,17.56,16.94,17.25,1389500,1.0,0.0
2000-06-29,17.0,17.38,16.38,17.19,1791200,1.0,0.0
2000-06-30,17.19,19.1,17.19,19.0,3256100,1.0,0.0
2000-07-03,18.81,18.88,18.13,18.81,813900,1.0,0.0
2000-07-05,18.81,19.25,18.31,19.06,2172500,1.0,0.0
2000-07-06,19.06,20.19,19.0,19.5,2388800,1.0,0.0
2000-07-07,19.25,19.5,19.06,19.19,1395600,1.0,0.0
2000-07-10,19.38,19.44,18.81,19.0,1027100,1.0,0.0
2000-07-11,19.13,19.38,19.0,19.0,1510100,1.0,0.0
2000-07-12,19.31,19.88,19.19,19.25,1443300,1.0,0.0
2000-07-13,19.25,19.5,19.13,19.44,1250300,1.0,0.0
2000-07-14,19.31,19.75,19.31,19.44,836900,1.0,0.0
