date,open,high,low,close,volume,splitfactor,divcash
2000-01-03,31.0,31.81,30.63,31.0,2366700,1.0,0.0
2000-01-04,29.5,31.38,29.5,30.31,3364600,1.0,0.0
2000-01-05,30.5,32.25,30.5,32.0,2731700,1.0,0.0
2000-01-06,32.19,33.13,32.19,32.88,8654600,1.0,0.0
2000-01-07,33.0,33.94,33.0,33.75,2319500,1.0,0.0
2000-01-10,33.88,34.38,33.06,33.13,1683300,1.0,0.0
2000-01-11,33.0,33.13,32.44,32.75,1411600,1.0,0.0
2000-01-12,33.0,33.31,31.69,32.31,3164000,1.0,0.0
2000-01-13,32.5,33.56,32.5,33.06,2522400,1.0,0.0
2000-01-14,33.75,35.0,33.69,34.94,3368000,1.0,0.0
2000-01-18,35.81,36.75,35.19,36.56,2556000,1.0,0.0
2000-01-19,36.44,36.44,35.69,35.81,2138900,1.0,0.0
2000-01-20,35.81,38.25,35.81,38.0,2515400,1.0,0.0
2000-01-21,40.5,40.75,38.56,39.19,4951000,1.0,0.0
2000-01-24,40.0,40.0,37.13,37.56,2783200,1.0,0.0
2000-01-25,37.56,37.56,36.5,37.0,2112800,1.0,0.0
2000-01-26,37.0,41.0,36.94,40.63,5487700,1.0,0.0
2000-01-27,40.5,40.56,38.06,38.81,2717200,1.0,0.0
2000-01-28,38.75,38.94,36.63,37.81,2277100,1.0,0.0
2000-01-31,38.06,39.0,36.81,38.06,2711400,1.0,0.0
2000-02-01,38.81,39.0,37.75,38.0,3587300,1.0,0.0
2000-02-02,37.69,38.81,37.5,38.63,2302700,1.0,0.0
2000-02-03,38.13,38.88,37.94,38.19,1977400,1.0,0.0
2000-02-04,37.56,38.38,37.38,37.56,2406400,1.0,0.0
2000-02-07,37.56,39.0,37.56,38.44,1858000,1.0,0.0
2000-02-08,40.0,41.75,39.25,41.5,4547900,1.0,0.0
2000-02-09,41.94,42.0,39.56,40.94,3414700,1.0,0.0
2000-02-10,41.88,42.88,40.88,42.25,4474600,1.0,0.0
2000-02-11,42.94,43.0,41.31,42.0,3936900,1.0,0.0
2000-02-14,42.25,43.0,41.69,41.94,1993800,1.0,0.0
2000-02-15,41.94,43.5,41.94,43.13,4551100,1.0,0.0
2000-02-16,44.75,45.19,43.63,45.0,4315900,1.0,0.0
2000-02-17,44.56,44.69,42.88,43.44,2144800,1.0,0.0
2000-02-18,43.19,43.56,40.88,42.0,3043700,1.0,0.0
2000-02-22,42.0,42.19,40.75,41.13,1979000,1.0,0.0
2000-02-23,41.75,43.25,40.69,40.75,2283400,1.0,0.0
2000-02-24,40.75,40.75,39.13,40.19,1665200,1.0,0.0
2000-02-25,39.94,40.13,38.38,39.25,1375100,1.0,0.0
2000-02-28,39.88,41.25,39.63,41.0,2554800,1.0,0.0
2000-02-29,41.0,42.56,40.31,41.81,1933800,1.0,0.0
2000-03-01,42.25,44.88,42.13,44.69,3182100,1.0,0.0
2000-03-02,45.0,47.88,44.69,45.06,3121300,1.0,0.0
2000-03-03,45.31,47.44,45.25,47.19,3876500,1.0,0.0
2000-03-06,46.94,48.63,46.25,48.0,3712700,1.0,0.0
2000-03-07,48.0,49.75,47.94,48.69,3718200,1.0,0.0
2000-03-08,48.69,48.94,44.94,46.13,4353600,1.0,0.15
2000-03-09,46.0,46.0,44.19,45.56,2355300,1.0,0.0
2000-03-10,46.0,49.0,46.0,48.69,5945900,1.0,0.0
2000-03-13,46.94,47.31,45.69,46.31,1969000,1.0,0.0
2000-03-14,46.13,46.31,45.06,45.88,2563500,1.0,0.0
2000-03-15,46.13,46.63,44.5,45.44,2103000,1.0,0.0
2000-03-16,47.0,47.0,43.38,46.06,2564800,1.0,0.0
2000-03-17,45.38,46.0,44.5,45.5,2159300,1.0,0.0
2000-03-20,45.13,45.81,43.88,44.13,1925400,1.0,0.0
