date,open,high,low,close,volume
2000-01-03,43.25,43.25,42.75,43.0,3900
2000-01-04,43.0,43.12,42.25,42.31,6700
2000-01-05,42.44,42.81,42.31,42.81,5300
2000-01-06,42.81,43.62,42.81,43.38,6100
2000-01-07,43.62,45.25,43.62,44.88,22300
2000-01-10,44.75,44.88,44.12,44.44,9900
2000-01-11,44.31,44.94,44.31,44.62,6100
2000-01-12,44.38,44.38,43.69,44.0,4900
2000-01-13,43.75,43.81,43.56,43.56,6600
2000-01-14,43.31,43.38,41.88,41.88,23000
2000-01-18,41.75,41.75,40.75,40.75,28300
2000-01-19,40.56,40.81,40.31,40.56,24700
2000-01-20,40.44,41.75,40.44,41.38,18500
2000-01-21,41.56,42.25,40.5,40.5,18200
2000-01-24,40.25,40.31,38.0,38.0,20100
2000-01-25,38.25,40.5,38.25,40.12,17700
2000-01-26,40.0,40.75,39.88,40.5,7600
2000-01-27,40.56,41.38,40.56,41.19,12000
2000-01-28,41.0,42.0,40.56,42.0,22600
2000-01-31,41.88,43.12,41.88,42.94,34300
2000-02-01,43.12,43.12,43.0,43.0,10700
2000-02-02,43.0,43.06,42.81,42.94,7600
2000-02-03,43.06,43.06,42.75,42.75,10600
2000-02-04,42.75,42.88,41.88,41.88,14800
2000-02-07,43.0,43.81,43.0,43.44,28900
2000-02-08,43.62,43.62,43.19,43.31,11400
2000-02-09,42.94,43.38,42.94,43.0,9300
2000-02-10,43.0,43.44,43.0,43.0,8800
2000-02-11,42.94,42.94,42.38,42.44,5100
2000-02-14,42.56,42.56,42.31,42.31,9100
2000-02-15,42.31,42.31,41.69,41.88,10200
2000-02-16,41.75,41.75,41.25,41.25,7300
2000-02-17,41.25,41.5,41.25,41.31,9500
2000-02-18,41.19,41.69,41.0,41.0,5700
2000-02-22,41.25,41.25,40.5,40.5,11000
2000-02-23,40.5,40.5,40.0,40.0,5300
2000-02-24,40.25,40.38,40.06,40.12,4400
2000-02-25,40.06,40.62,40.06,40.62,2000
2000-02-28,40.88,41.0,40.62,41.0,13300
2000-02-29,41.12,42.31,41.12,42.31,20500
2000-03-01,42.31,42.75,42.25,42.75,10300
2000-03-02,41.88,42.0,38.06,38.06,48400
2000-03-03,38.0,38.0,34.19,36.0,55600
2000-03-06,36.0,39.0,36.0,38.19,59900
2000-03-07,38.0,38.0,37.38,37.5,4700
2000-03-08,37.5,37.5,35.44,36.88,22200
2000-03-09,36.62,36.62,35.0,36.0,15400
2000-03-10,35.75,35.81,34.75,34.75,9800
2000-03-13,34.88,35.12,34.62,35.0,7200
2000-03-14,35.06,35.31,35.0,35.19,4300
2000-03-15,35.25,35.38,35.19,35.31,4400
2000-03-16,35.25,35.38,35.19,35.38,6900
2000-03-17,35.31,35.38,35.19,35.31,7300
2000-03-20,35.06,36.19,34.94,36.19,10900
2000-03-21,36.12,36.38,35.75,35.81,6200
2000-03-22,35.81,35.94,35.62,35.94,4100
2000-03-23,35.88,36.0,34.56,34.75,9400
2000-03-24,34.69,35.25,34.5,35.25,13400
2000-03-27,35.25,35.44,35.0,35.44,2000
2000-03-28,35.25,35.38,35.0,35.19,8100
2000-03-29,34.94,35.25,34.38,34.38,8600
2000-03-30,34.38,35.56,34.19,35.56,14500
2000-03-31,35.62,35.62,34.0,34.0,32400
2000-04-03,34.25,34.5,34.0,34.5,11200
2000-04-04,34.5,35.69,34.5,35.31,17800
2000-04-05,35.44,35.44,33.0,34.12,33400
2000-04-06,34.06,34.31,33.25,33.69,29900
2000-04-07,33.69,34.75,33.62,34.75,16500
2000-04-10,34.84,35.25,34.84,35.25,4500
2000-04-11,35.25,35.25,34.62,35.12,13300
2000-04-12,35.12,35.19,35.06,35.06,3100
2000-04-13,35.31,35.56,34.75,35.38,25600
2000-04-14,35.0,35.0,32.75,34.88,29600
2000-04-17,34.81,35.75,33.88,35.75,27200
2000-04-18,35.5,35.5,35.0,35.06,9900
2000-04-19,35.12,35.12,34.62,34.75,3900
2000-04-20,34.75,34.88,34.62,34.88,2200
2000-04-24,34.75,34.75,33.75,33.75,8800
2000-04-25,33.75,34.0,33.25,33.5,14000
2000-04-26,33.75,33.94,33.75,33.94,4200
2000-04-27,33.81,34.06,33.56,33.56,5000
2000-04-28,33.5,33.5,33.19,33.25,4800
2000-05-01,33.25,33.38,33.0,33.19,7800
2000-05-02,34.0,35.0,34.0,34.88,27600
2000-05-03,34.75,34.75,33.88,34.0,3300
2000-05-04,33.88,33.88,33.25,33.25,8400
2000-05-05,33.12,33.44,33.12,33.31,3600
2000-05-08,33.5,33.5,33.38,33.5,4300
2000-05-09,33.44,33.69,33.44,33.5,5200
2000-05-10,33.5,33.62,33.12,33.62,6700
2000-05-11,33.5,33.5,33.0,33.44,5500
