date,open,high,low,close,volume
2025-09-29,18.0,22.1,8.05,22.1,24361660
2025-09-30,28.85,34.2799,27.11,28.6,47733789
2025-10-01,28.67,28.67,23.0,24.83,14015831
2025-10-02,25.07,26.2,22.01,24.69,8152832
2025-10-03,25.11,27.69,23.69,24.37,5074577
2025-10-06,24.62,26.946,23.2867,26.17,4436691
2025-10-07,25.87,28.21,24.91,26.69,3605323
2025-10-08,26.26,30.88,26.2501,30.36,7393281
2025-10-09,34.22,36.6,32.8,35.42,9476366
2025-10-10,34.21,36.4,31.02,31.1,5024745
2025-10-13,33.52,34.2,28.8,32.57,4787925
2025-10-14,32.0,34.2025,31.01,32.58,3839762
2025-10-15,33.31,33.44,30.53,32.43,2940445
2025-10-16,32.69,34.3999,31.5,32.44,3215684
2025-10-17,32.305,34.9,31.0,31.0,3185836
2025-10-20,31.6,31.96,29.6,30.0,2053509
2025-10-21,30.25,31.24,29.26,30.08,1186004
2025-10-22,30.5,30.775,27.7,29.48,1596785
2025-10-23,29.66,30.15,29.0118,29.59,793927
2025-10-24,30.0,30.05,28.701,29.57,1512649
2025-10-27,29.61,31.9799,29.45,30.89,5555432
2025-10-28,30.53,31.9699,28.53,30.76,2906696
2025-10-29,31.0,31.99,29.5,31.99,3200789
2025-10-30,25.94,27.9,24.6872,26.16,6085316
2025-10-31,26.0,27.85,25.81,26.32,2356426
2025-11-03,26.49,26.5,23.62,23.76,1786867
2025-11-04,23.5,23.5,21.16,21.9,2643474
2025-11-05,21.6,21.8,20.1,20.25,1754418
2025-11-06,20.08,20.13,17.55,18.65,3970355
2025-11-07,17.61,18.9499,17.0,17.95,2895334
2025-11-10,18.68,19.0384,17.32,17.88,1607754
2025-11-11,18.02,18.24,16.75,17.4,1441845
2025-11-12,17.44,19.81,17.33,19.55,2401264
2025-11-13,19.12,19.2198,17.9,18.19,1574986
2025-11-14,17.14,18.5,17.14,17.48,729051
2025-11-17,17.9,18.65,17.29,18.11,1097904
2025-11-18,17.84,18.7,17.54,17.59,603763
2025-11-19,17.62,18.15,16.8,17.51,918599
2025-11-20,18.1,18.95,17.16,17.34,1264958
2025-11-21,17.17,18.1,16.47,17.18,1366277
2025-11-24,17.61,18.15,16.91,18.06,1416511
2025-11-25,18.12,20.2699,17.47,19.86,2843614
2025-11-26,20.13,21.54,19.71,20.5,1493526
2025-11-28,20.4,20.86,19.91,20.28,420327
2025-12-01,21.8937,23.12,20.5001,22.11,3684990
2025-12-02,21.79,22.3,20.5,21.36,1829032
2025-12-03,21.11,21.88,20.71,21.87,1060428
2025-12-04,21.49,23.39,21.45,22.75,1203077
2025-12-05,22.13,22.98,21.8,22.07,822794
2025-12-08,22.5,23.0,21.6,22.91,969484
