rebalance_date,hold_end,n_universe,n_with_signal,n_delisted,n_valid_returns
2015-01-01,2015-04-01,363,337,0,363
2015-04-01,2015-07-01,362,345,2,362
2015-07-01,2015-10-01,393,376,1,393
2015-10-01,2016-01-01,426,407,1,426
2016-01-01,2016-04-01,414,387,1,411
2016-04-01,2016-07-01,404,384,1,401
2016-07-01,2016-10-01,416,399,1,413
2016-10-01,2017-01-01,389,378,1,386
2017-01-01,2017-04-01,386,369,1,383
2017-04-01,2017-07-01,406,391,1,403
2017-07-01,2017-10-01,430,405,2,427
2017-10-01,2018-01-01,392,379,2,389
2018-01-01,2018-04-01,418,405,2,416
2018-04-01,2018-07-01,431,422,2,429
2018-07-01,2018-10-01,444,433,2,442
2018-10-01,2019-01-01,428,423,3,426
2019-01-01,2019-04-01,457,452,3,455
2019-04-01,2019-07-01,442,438,3,440
2019-07-01,2019-10-01,450,448,3,448
2019-10-01,2020-01-01,447,444,3,445
2020-01-01,2020-04-01,420,418,3,418
2020-04-01,2020-07-01,514,512,3,512
2020-07-01,2020-10-01,494,492,3,492
2020-10-01,2021-01-01,491,489,3,489
