a,b,sector_group,entry_date,exit_date,holding_days,exit_reason,direction,trade_pnl,trade_gross,trade_cost,profitable
NOG,WTI,13,2016-04-13,2016-07-01,79,forced_close,long_b_short_a,-0.062465241014344836,-0.022594588120148362,0.035366447238396034,False
CRSP,EDIT,28,2019-02-25,2019-04-03,37,converged,long_b_short_a,0.24434881354805302,0.13971373492487527,0.025058260573341304,True
CRSP,EDIT,28,2019-06-04,2019-07-01,27,forced_close,long_b_short_a,-0.11233510011340483,-0.051836794179227486,0.024911118163275264,False
CCS,LGIH,15,2020-02-07,2020-07-01,145,forced_close,long_b_short_a,0.04640753676504235,0.04653226530816035,0.03137445654237113,True
CCS,MTH,15,2020-02-07,2020-03-12,34,converged,long_b_short_a,-0.08954029390847698,-0.04135624685849393,0.025453317058161805,False
CCS,MTH,15,2020-03-16,2020-05-22,67,converged,long_a_short_b,-0.026756822683921315,0.005426419203706734,0.02552317935973235,False
CCS,TMHC,15,2020-02-07,2020-03-24,46,converged,long_b_short_a,-0.09841383758051336,-0.03382602604224105,0.02307552620847529,False
CCS,TMHC,15,2020-03-31,2020-04-07,7,converged,long_a_short_b,0.050720625855569725,0.04990229591244194,0.022409268324336196,True
CCS,TMHC,15,2020-05-07,2020-07-01,55,forced_close,long_b_short_a,-0.024376418962135722,0.001282569483916085,0.023236328223273275,False
LGIH,TMHC,15,2020-03-04,2020-07-01,119,forced_close,long_b_short_a,-0.13897267928144397,-0.06392838684845442,0.019809748505328004,False
AEIS,ICHR,36,2020-01-09,2020-01-15,6,converged,long_b_short_a,0.20413921533186102,0.10363553741486298,0.023853065549381398,True
AEIS,ICHR,36,2020-02-14,2020-02-19,5,converged,long_b_short_a,0.04345644147934655,0.044702656129553264,0.023832882414269646,True
AEIS,ICHR,36,2020-03-12,2020-04-01,20,converged,long_a_short_b,0.18765073719383552,0.10455564269299095,0.024147501823839946,True
AEIS,ICHR,36,2020-05-06,2020-07-01,56,forced_close,long_b_short_a,0.026729836195248862,0.02984133745149231,0.02420627041383705,True
RTX,VC,37,2020-08-04,2020-12-31,149,forced_close,long_a_short_b,-0.29538295137002657,-0.13105910541200533,0.02645268105063824,False
BBSI,HRI,73,2020-07-16,2020-12-31,168,forced_close,long_a_short_b,-0.5138242806837477,-0.23624514085689746,0.027198661907714437,False
