cik,ticker,filing_date,source,surprise,entry_date,exit_date,valid,quintile,beta,mcap
928054,FTK,2015-01-06,8-K,-0.02702840994993716,2015-01-08,2015-03-16,True,3,1.0,950943600.3499999
1237831,GMED,2015-01-06,8-K,0.054735739670546346,2015-01-08,2015-03-16,True,1,1.0,2215187014.25
318833,TISI,2015-01-06,8-K,-0.04797015477227884,2015-01-08,2015-03-16,True,4,1.0,0.0
1005286,LFCR,2015-01-06,8-K,-0.01228174246516156,2015-01-08,2015-03-16,True,2,1.0,363215799.53999996
1160308,SVRA,2015-01-06,8-K,-0.0784375135005072,2015-01-08,2015-03-16,True,5,1.0,64876291.2192
1433607,NSPR,2015-01-06,8-K,0.019846569173032513,2015-01-08,2015-03-16,True,1,1.0,29138848.18
836157,LNN,2015-01-06,8-K,-0.019665771817062416,2015-01-08,2015-03-16,True,3,1.0,0.0
717954,UNF,2015-01-07,8-K,-0.03167486023949828,2015-01-09,2015-03-17,True,4,1.0,0.0
875582,NTIC,2015-01-07,8-K,0.07881608167415921,2015-01-09,2015-03-17,True,1,1.0,100485293.74000001
923120,GBX,2015-01-07,10-Q-fb,0.03777571618637321,2015-01-09,2015-03-17,True,2,1.0,1395591000.0
1436126,MG,2015-01-07,8-K,0.1344553195273852,2015-01-09,2015-03-17,True,1,1.0,519887118.87
320187,NKE,2015-01-07,10-Q-fb,0.025341652208750398,2015-01-09,2015-03-17,True,2,1.0,0.0
1084765,RGP,2015-01-07,8-K,0.05779575315786167,2015-01-09,2015-03-17,True,1,1.0,630985600.0
105132,WDFC,2015-01-07,8-K,-0.0017930842616391551,2015-01-09,2015-03-17,True,3,1.0,1261202863.76
1120370,BWEN,2015-01-08,8-K,-0.12137643407972998,2015-01-12,2015-03-18,True,5,1.0,74848413.39999999
1123360,GPN,2015-01-08,10-Q-fb,0.06880456157357351,2015-01-12,2015-03-18,True,1,1.0,5682895047.18
1177609,FIVE,2015-01-08,8-K,-0.1493990882890931,2015-01-12,2015-03-18,True,5,1.0,2371957996.25
76267,PKE,2015-01-08,8-K,-0.05513722118390907,2015-01-12,2015-03-18,True,5,1.0,485311126.59999996
730272,RGEN,2015-01-08,8-K,0.19862487708759136,2015-01-12,2015-03-18,True,1,1.0,801880330.76
