rebalance_date,n_universe,n_with_signal,n_excluded,pct_excluded
2015-01-01,361,314,47,13.01939058171745
2015-04-01,360,314,46,12.777777777777779
2015-07-01,391,335,56,14.322250639386189
2015-10-01,424,361,63,14.858490566037736
2016-01-01,412,340,72,17.475728155339805
2016-04-01,402,343,59,14.676616915422885
2016-07-01,414,362,52,12.560386473429952
2016-10-01,387,341,46,11.886304909560723
2017-01-01,384,338,46,11.979166666666666
2017-04-01,404,360,44,10.891089108910892
2017-07-01,428,377,51,11.91588785046729
2017-10-01,390,348,42,10.76923076923077
2018-01-01,417,380,37,8.872901678657074
2018-04-01,429,393,36,8.391608391608392
2018-07-01,442,402,40,9.049773755656108
2018-10-01,426,394,32,7.511737089201878
2019-01-01,455,427,28,6.153846153846154
2019-04-01,440,419,21,4.7727272727272725
2019-07-01,448,434,14,3.125
2019-10-01,445,432,13,2.9213483146067416
2020-01-01,418,415,3,0.7177033492822966
2020-04-01,512,509,3,0.5859375
2020-07-01,492,490,2,0.4065040650406504
2020-10-01,489,488,1,0.20449897750511248
