sic_major_group,contribution
28,0.24023855043851314
36,0.1468667906566232
35,0.08769061263786468
10,0.07855199119358976
80,0.06421102515054487
37,0.06042224341310415
50,0.05459744965563912
13,0.052514310161282045
12,0.026376792726759378
14,0.025847137359058105
57,0.025751348450493903
24,0.025668548263838672
33,0.024868025676295504
52,0.02076255618057344
15,0.017107779354034076
26,0.015837601999438525
34,0.012220889004815673
30,0.01083909672976353
21,0.010718333453766788
16,0.006349712439657837
49,0.005358428127339626
45,0.004019040654646643
39,0.003243825301553566
25,0.0023207325069372555
17,0.0018432958294361478
81,0.0016561696335958079
27,-0.0030277352846318885
20,-0.004015548540833944
55,-0.004033532109862558
2,-0.0041217687812641485
70,-0.0053965465269756865
87,-0.006456496356077108
78,-0.0064668922808288
42,-0.00771006554404897
23,-0.009393949245201897
22,-0.0097305966038632
32,-0.012158530322072715
54,-0.01368954184502477
51,-0.014104630492595104
53,-0.014721300354467504
44,-0.015752590914367166
79,-0.01650729281932312
29,-0.018161580244410988
47,-0.01890241840189131
72,-0.021620842825307664
1,-0.026435081983881552
48,-0.027569536736912634
58,-0.03391366718023022
59,-0.03762311735456695
82,-0.04560324347863334
31,-0.054822089195043465
56,-0.0671482989905659
38,-0.0733713243813599
73,-0.13508456559988824
