rebalance_date,hold_end,n_universe,n_with_signal,n_pass_filter,n_delisted,n_valid_returns
2015-01-01,2015-02-01,361,314,27,0,361
2015-02-01,2015-03-01,359,313,34,0,359
2015-03-01,2015-04-01,362,318,44,0,362
2015-04-01,2015-05-01,360,314,35,0,360
2015-05-01,2015-06-01,369,320,30,1,369
2015-06-01,2015-07-01,374,319,32,1,374
2015-07-01,2015-08-01,391,335,32,1,391
2015-08-01,2015-09-01,394,337,38,1,394
2015-09-01,2015-10-01,417,354,39,1,417
2015-10-01,2015-11-01,424,361,46,1,424
2015-11-01,2015-12-01,401,337,49,1,399
2015-12-01,2016-01-01,400,329,39,1,398
2016-01-01,2016-02-01,412,338,37,1,410
2016-02-01,2016-03-01,427,351,49,1,425
2016-03-01,2016-04-01,412,342,47,1,410
2016-04-01,2016-05-01,402,343,29,1,400
2016-05-01,2016-06-01,398,344,35,1,396
2016-06-01,2016-07-01,395,341,35,1,393
2016-07-01,2016-08-01,414,362,32,1,412
2016-08-01,2016-09-01,403,358,29,1,401
2016-09-01,2016-10-01,396,349,46,1,394
2016-10-01,2016-11-01,387,341,23,1,385
2016-11-01,2016-12-01,404,363,38,1,402
2016-12-01,2017-01-01,387,341,42,1,385
2017-01-01,2017-02-01,384,338,27,1,382
2017-02-01,2017-03-01,391,348,35,1,389
2017-03-01,2017-04-01,393,351,38,1,391
2017-04-01,2017-05-01,404,360,30,1,402
2017-05-01,2017-06-01,406,361,30,1,404
2017-06-01,2017-07-01,428,379,47,2,426
2017-07-01,2017-08-01,428,377,22,2,426
2017-08-01,2017-09-01,417,371,38,2,415
2017-09-01,2017-10-01,414,366,56,2,412
2017-10-01,2017-11-01,390,348,38,2,388
2017-11-01,2017-12-01,405,365,38,2,403
2017-12-01,2018-01-01,406,366,54,2,404
2018-01-01,2018-02-01,417,380,37,2,416
2018-02-01,2018-03-01,419,380,45,2,418
2018-03-01,2018-04-01,426,389,56,2,425
2018-04-01,2018-05-01,429,393,40,2,428
2018-05-01,2018-06-01,422,385,34,2,421
2018-06-01,2018-07-01,429,386,50,2,428
2018-07-01,2018-08-01,442,402,34,2,441
2018-08-01,2018-09-01,435,399,33,2,434
2018-09-01,2018-10-01,424,392,43,3,423
2018-10-01,2018-11-01,426,394,42,3,425
2018-11-01,2018-12-01,438,406,43,3,437
2018-12-01,2019-01-01,439,408,56,3,438
2019-01-01,2019-02-01,455,427,34,3,454
2019-02-01,2019-03-01,434,409,48,3,433
2019-03-01,2019-04-01,419,397,57,3,418
2019-04-01,2019-05-01,440,419,47,3,439
2019-05-01,2019-06-01,442,422,39,3,441
2019-06-01,2019-07-01,472,454,62,3,471
2019-07-01,2019-08-01,448,434,39,3,447
2019-08-01,2019-09-01,448,437,50,2,447
2019-09-01,2019-10-01,458,445,62,3,457
2019-10-01,2019-11-01,445,432,52,3,444
2019-11-01,2019-12-01,417,407,46,3,416
2019-12-01,2020-01-01,422,416,57,3,421
2020-01-01,2020-02-01,418,415,46,3,417
2020-02-01,2020-03-01,432,429,52,3,431
2020-03-01,2020-04-01,461,458,64,3,460
2020-04-01,2020-05-01,512,509,95,3,511
2020-05-01,2020-06-01,483,480,76,3,482
2020-06-01,2020-07-01,472,469,55,3,471
2020-07-01,2020-08-01,492,490,43,3,491
2020-08-01,2020-09-01,493,491,58,3,492
2020-09-01,2020-10-01,489,488,67,3,488
2020-10-01,2020-11-01,489,488,43,3,488
2020-11-01,2020-12-01,476,474,33,3,475
2020-12-01,2021-01-01,460,457,47,4,459
