file,n_rows,list_kind,index_kind
2015_final.pdf,0,,
2015_preliminary.pdf,0,,
2016_20160621132745_russell-3000-index-2016-deletions,129,deletions,r3000
2016_20160621133709_russell-3000-index-2016-additions,185,additions,r3000
2016_20160625010423_russell-microcap-2016-additions,148,additions,rmicro
2016_20160630013131_russell-3000-index-2016-additions,183,additions,r3000
2016_20160630014629_russell-microcap-2016-deletions,205,deletions,rmicro
2016_20160630015402_russell-3000-index-2016-deletions,129,deletions,r3000
2017_20180201200900_final-microcap-additions-2017,194,additions,rmicro
2017_20180201200905_final-microcap-deletions-2017,137,deletions,rmicro
2017_20180201200920_final-r3000-additions-2017,195,additions,r3000
2017_20180201202107_final-r3000-deletions-2017,108,deletions,r3000
2017_20190124113615_preliminary-ru3000-deletions-2017,109,deletions,r3000
2018_20180624101345_2018-preliminary-russell-microcap-index-additions,213,additions,rmicro
2018_20180624102756_2018-preliminary-russell-3000-index-additions,182,additions,r3000
2018_20180625165509_2018-final-russell-microcap-index-additions,211,additions,rmicro
2018_20180625165915_2018-final-russell-microcap-index-deletions,140,deletions,rmicro
2019_20221014032449_RU3000_Additions_20190628.pdf,181,additions,r3000
2020_20200809135018_ru3000_additions_20200619.pdf,203,additions,r3000
2020_20200811174923_ru3000_deletions_20200619.pdf,143,deletions,r3000
2020_20200912131301_ru3000_additions_20200612_0.pdf,200,additions,r3000
2020_20200919142206_rmicro_additions_20200619.pdf,150,additions,rmicro
2020_20210517133719_ru3000_additions_20200626_0.pdf,203,additions,r3000
2020_20220325171630_rmicro_additions_20200605.pdf,150,additions,rmicro
2021_20210605015015_russell_microcap_additions_-_2021.pdf,493,additions,rmicro
2021_20210605025817_russell_microcap_deletions_-_2021.pdf,66,deletions,rmicro
2021_20210612105109_ru3000_additions_20210611.pdf,255,additions,r3000
2021_20210613191950_rmicro_deletions_202106011.pdf,66,deletions,rmicro
2021_20210618232107_ru3000_additions_20210618.pdf,254,additions,r3000
2021_20210621043238_ru3000_deletions_20210618.pdf,293,deletions,r3000
2021_20210624225048_rmicro_deletions_20210618.pdf,66,deletions,rmicro
2021_20210625230319_ru3000_additions_20210625.pdf,254,additions,r3000
2021_20210626025026_ru3000_deletions_20210625.pdf,293,deletions,r3000
2021_20220426065724_ru3000_deletions_20210611.pdf,293,deletions,r3000
2022_20220603221312_ru3000_additions_20220603.pdf,296,additions,r3000
2022_20220603222206_ru3000_deletions_20220603.pdf,301,deletions,r3000
2022_20220606153448_rmicro_deletions_20220603.pdf,298,deletions,rmicro
2022_20220616154314_ru3000_deletions_20220610.pdf,301,deletions,r3000
2022_20220617220615_ru3000_additions_20220617.pdf,293,additions,r3000
2022_20220622042215_ru3000_deletions_20220617.pdf,299,deletions,r3000
2022_20220622045204_rmicro_additions_20220617.pdf,344,additions,rmicro
2022_20220622045536_rmicro_deletions_20220617.pdf,296,deletions,rmicro
2022_20220622112330_rmicro_additions_20220610.pdf,346,additions,rmicro
2022_20220625012025_ru3000_deletions_20220624.pdf,299,deletions,r3000
2022_20220625025227_rmicro_additions_20220624.pdf,344,additions,rmicro
2022_20220627135943_ru3000_additions_20220624.pdf,292,additions,r3000
2023_20230519222524_ru3000_additions_20230519.pdf,281,additions,r3000
2023_20230519225009_ru3000_deletions_20230519.pdf,176,deletions,r3000
2023_20230520000709_rmicro_deletions_20230519.pdf,313,deletions,rmicro
2023_20230523115311_rmicro_additions_20230519.pdf,161,additions,rmicro
2023_20230527015442_ru3000_deletions_20230526.pdf,176,deletions,r3000
2023_20230527162418_ru3000_additions_20230526.pdf,279,additions,r3000
2023_20230531182051_rmicro_additions_20230526.pdf,160,additions,rmicro
2023_20230605172138_rmicro_additions_20230602.pdf,160,additions,rmicro
2023_20230605194822_ru3000_additions_20230602.pdf,280,additions,r3000
2023_20230606194931_ru3000_deletions_20230602.pdf,174,deletions,r3000
2023_20230610151411_ru3000_additions_20230609.pdf,281,additions,r3000
2023_20230621220003_ru3000_deletions_20230616.pdf,172,deletions,r3000
2023_20230703060626_ru3000_additions_20230616.pdf,282,additions,r3000
2023_20230705185546_ru3000_additions_final_20230623.pdf,281,additions,r3000
