company,symbol,sector,list_kind,index_kind,source_file
ABEONA THERAPEUTICS INC,ABEO,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
ACCURIDE CORP,ACW,Producer Durables,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
AEGERION PHARM INC,AEGR,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
AFFIMED NV,AFMD,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
ALIMERA SCIENCES INC,ALIM,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
ALLIANCE HEALTHCARE SVCS,AIQ,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
ALTISOURCE ASSET MGMT,AAMC,Financial Services,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
ANTARES PHARMA INC,ATRS,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
APPROACH RESOURCES INC,AREX,Energy,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
ARALEZ PHARMACEUTICALS,ARLZ,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
ARCADIA BIOSCIENCES INC,RKDA,Consumer Staples,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
ASHFORD INC,AINC,Financial Services,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
ASSEMBLY BIOSCIENCES INC,ASMB,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
ATYR PHARMA INC,LIFE,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
BASIC ENERGY SERVICES,BAS,Energy,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
BEBE STORES INC,BEBE,Consumer Discretionary,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
BIODELIVERY SCIENCES,BDSI,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
BLACK DIAMOND INC,BDE,Consumer Discretionary,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
BONANZA CREEK ENER INC,BCEI,Energy,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
BRAVO BRIO RESTAURANT GR,BBRG,Consumer Discretionary,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
C&J ENERGY SERVICES LTD,CJES,Energy,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
CALITHERA BIOSCIENCES,CALA,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
CARBYLAN THERAPEUTICS,CBYL,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
CASCADIAN THERAPEUTICS,CASC,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
CASTLE BRANDS INC,ROX,Consumer Staples,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
CATABASIS PHARACEUTICALS,CATB,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
CATALYST PHARMACEUTICALS,CPRX,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
CDI CORP,CDI,Producer Durables,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
CHEROKEE INC,CHKE,Consumer Discretionary,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
CHIASMA INC,CHMA,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
CHRISTOPHER & BANKS CORP,CBK,Consumer Discretionary,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
CIBER INC,CBR,Technology,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
CIVEO CORP,CVEO,Energy,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
CLOUD PEAK ENERGY INC,CLD,Energy,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
COMMERCIAL VEH GROUP INC,CVGI,Producer Durables,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
CONNECTURE INC,CNXR,Technology,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
CORE MOLDING TECHN,CMT,Materials & Processing,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
CORIUM INTL INC,CORI,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
CORMEDIX INC,CRMD,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
CTI BIOPHARMA CORP,CTIC,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
