year,ticker,company,sector,preliminary_posted,effective_date,list_kind
2016,ACIA,ACACIA COMMUNICATIONS,Technology,2016-06-10,2016-06-24,addition
2016,ACRX,ACELRX PHARMACEUTICALS,Health Care,2016-06-10,2016-06-24,addition
2016,ACNB,ACNB CORP,Financial Services,2016-06-10,2016-06-24,addition
2016,AGFS,AGROFRESH SOLUTIONS INC,Materials & Processing,2016-06-10,2016-06-24,addition
2016,ALJJ,ALJ REGIONAL HOLDINGS,Producer Durables,2016-06-10,2016-06-24,addition
2016,AOI,ALLIANCE ONE INTL INC,Consumer Staples,2016-06-10,2016-06-24,addition
2016,AMIC,AMERICAN INDEPENDENCE,Financial Services,2016-06-10,2016-06-24,addition
2016,ARA,AMERICAN RENAL ASSOC HLD,Health Care,2016-06-10,2016-06-24,addition
2016,AMSC,AMERICAN SUPERCONDUCTOR,Producer Durables,2016-06-10,2016-06-24,addition
2016,AP,AMPCO-PITTSBURGH CORP,Materials & Processing,2016-06-10,2016-06-24,addition
2016,AMPE,AMPIO PHARMACEUTICALS,Health Care,2016-06-10,2016-06-24,addition
2016,AVXL,ANAVEX LIFE SCIENCES,Health Care,2016-06-10,2016-06-24,addition
2016,AQMS,AQUA METALS INC,Producer Durables,2016-06-10,2016-06-24,addition
2016,ARGS,ARGOS THERAPEUTICS,Health Care,2016-06-10,2016-06-24,addition
2016,ATHX,ATHERSYS INC,Health Care,2016-06-10,2016-06-24,addition
2016,ACBI,ATLANTIC CAPITAL INC,Financial Services,2016-06-10,2016-06-24,addition
2016,ABTL,AUTOBYTEL INC,Technology,2016-06-10,2016-06-24,addition
2016,AVNU,AVENUE FINANCIAL HLDGS,Financial Services,2016-06-10,2016-06-24,addition
2016,AVGR,AVINGER INC,Health Care,2016-06-10,2016-06-24,addition
2016,AXGN,AXOGEN INC,Health Care,2016-06-10,2016-06-24,addition
2016,AXSM,AXSOME THERAPEUTICS INC,Health Care,2016-06-10,2016-06-24,addition
2016,RILY,B. RILEY FINANCIAL INC,Financial Services,2016-06-10,2016-06-24,addition
2016,BWFG,BANKWELL FINL GROUP INC,Financial Services,2016-06-10,2016-06-24,addition
2016,BPTH,BIO PATH HOLDINGS INC,Health Care,2016-06-10,2016-06-24,addition
2016,BCRH,BLUE CAPITAL REINSURANCE,Financial Services,2016-06-10,2016-06-24,addition
2016,CFFI,C & F FINANCIAL CORP,Financial Services,2016-06-10,2016-06-24,addition
2016,CSTE,CAESARSTONE LTD,Materials & Processing,2016-06-10,2016-06-24,addition
2016,CFNB,CALIFORNIA FIRST NATL,Financial Services,2016-06-10,2016-06-24,addition
2016,CARO,CAROLINA FINL CORP,Financial Services,2016-06-10,2016-06-24,addition
2016,CPXX,CELATOR PHARMACEUTICALS,Health Care,2016-06-10,2016-06-24,addition
2016,CENT,CENTRAL GARDEN & PET CO,Consumer Discretionary,2016-06-10,2016-06-24,addition
2016,CVCY,CENTRAL VALLEY CMNTY,Financial Services,2016-06-10,2016-06-24,addition
2016,CNTY,CENTURY CASINOS INC,Consumer Discretionary,2016-06-10,2016-06-24,addition
2016,CHMG,CHEMUNG FINL CORP,Financial Services,2016-06-10,2016-06-24,addition
2016,CDXC,CHROMADEX CORP,Materials & Processing,2016-06-10,2016-06-24,addition
2016,CIO,CITY OFFICE REIT INC,Financial Services,2016-06-10,2016-06-24,addition
2016,CDXS,CODEXIS INC,Health Care,2016-06-10,2016-06-24,addition
2016,CVLY,CODORUS VY BANCORP INC,Financial Services,2016-06-10,2016-06-24,addition
2016,CHCT,COMMUNITY HEALTHCARE TR,Financial Services,2016-06-10,2016-06-24,addition
2016,CIX,COMPX INTERNATIONAL INC,Materials & Processing,2016-06-10,2016-06-24,addition
2016,CRVS,CORVUS PHARMACEUTICALS,Health Care,2016-06-10,2016-06-24,addition
2016,CMRE,COSTAMARE INC,Producer Durables,2016-06-10,2016-06-24,addition
2016,COTV,COTIVITI HOLDINGS INC,Health Care,2016-06-10,2016-06-24,addition
2016,ICBK,COUNTY BANCORP INC,Financial Services,2016-06-10,2016-06-24,addition
2016,CSWI,CSW INDUSTRIALS INC,Producer Durables,2016-06-10,2016-06-24,addition
2016,DWSN,DAWSON GEOPHYSICAL CO,Energy,2016-06-10,2016-06-24,addition
2016,TACO,DEL TACO RESTAURANTS INC,Consumer Discretionary,2016-06-10,2016-06-24,addition
2016,DLA,DELTA APPAREL INC,Consumer Discretionary,2016-06-10,2016-06-24,addition
2016,DGAS,DELTA NATURAL GAS INC,Utilities,2016-06-10,2016-06-24,addition
2016,BOOM,DYNAMIC MATERIALS CORP,Materials & Processing,2016-06-10,2016-06-24,addition
2016,EGLT,EGALET CORPORATION,Health Care,2016-06-10,2016-06-24,addition
2016,EIGR,EIGER BIOPHARMACEUTICALS,Health Care,2016-06-10,2016-06-24,addition
2016,ESIO,ELECTRO SCIENTIFIC INDS,Technology,2016-06-10,2016-06-24,addition
2016,WATT,ENERGOUS CORP,Producer Durables,2016-06-10,2016-06-24,addition
2016,ERII,ENERGY RECOVERY INC,Producer Durables,2016-06-10,2016-06-24,addition
2016,ENZ,ENZO BIOCHEM INC,Health Care,2016-06-10,2016-06-24,addition
2016,ESSA,ESSA BANCORP INC,Financial Services,2016-06-10,2016-06-24,addition
2016,EXA,EXA CORP,Technology,2016-06-10,2016-06-24,addition
2016,FMNB,FARMERS NATL BANC CORP,Financial Services,2016-06-10,2016-06-24,addition
2016,FPI,FARMLAND PARTNERS INC,Financial Services,2016-06-10,2016-06-24,addition
2016,FBRC,FBR & CO,Financial Services,2016-06-10,2016-06-24,addition
2016,FCFP,FIRST COMMUNITY FINL INC,Financial Services,2016-06-10,2016-06-24,addition
2016,FFNW,FIRST FINL NORTHWEST,Financial Services,2016-06-10,2016-06-24,addition
2016,FFWM,FIRST FNDTN INC,Financial Services,2016-06-10,2016-06-24,addition
2016,INBK,FIRST INTERNET BANCORP,Financial Services,2016-06-10,2016-06-24,addition
2016,FMBH,FIRST MID ILL BANCSHARES,Financial Services,2016-06-10,2016-06-24,addition
2016,FNWB,FIRST NORTHWEST BANCORP,Financial Services,2016-06-10,2016-06-24,addition
2016,FBIO,FORTRESS BIOTECH INC,Health Care,2016-06-10,2016-06-24,addition
2016,GAIA,GAIAM INC,Consumer Discretionary,2016-06-10,2016-06-24,addition
2016,GENC,GENCOR INDUSTRIES INC,Producer Durables,2016-06-10,2016-06-24,addition
2016,GIG,GIGPEAK INC,Technology,2016-06-10,2016-06-24,addition
2016,GNL,GLOBAL NET LEASE INC,Financial Services,2016-06-10,2016-06-24,addition
2016,GSOL,GLOBAL SOURCES LTD,Producer Durables,2016-06-10,2016-06-24,addition
2016,GWRS,GLOBAL WATER RESOURCES,Utilities,2016-06-10,2016-06-24,addition
2016,GLYC,GLYCOMIMETICS INC,Health Care,2016-06-10,2016-06-24,addition
2016,GMS,GMS INC,Materials & Processing,2016-06-10,2016-06-24,addition
2016,GORO,GOLD RESOURCE CORP,Materials & Processing,2016-06-10,2016-06-24,addition
2016,GDEN,GOLDEN ENTERTAINMENT INC,Consumer Discretionary,2016-06-10,2016-06-24,addition
2016,GCBC,GREENE COUNTY BANCORP,Financial Services,2016-06-10,2016-06-24,addition
2016,GEF.B,GREIF INC,Materials & Processing,2016-06-10,2016-06-24,addition
2016,GRIF,GRIFFIN INDUSTRIAL RLTY,Financial Services,2016-06-10,2016-06-24,addition
2016,HDNG,HARDINGE INC,Producer Durables,2016-06-10,2016-06-24,addition
2016,HNNA,HENNESSY ADVISORS INC,Financial Services,2016-06-10,2016-06-24,addition
2016,ONE,HIGHER ONE HLDGS INC,Financial Services,2016-06-10,2016-06-24,addition
2016,HBCP,HOME BANCORP INC,Financial Services,2016-06-10,2016-06-24,addition
2016,HZNP,HORIZON PHARMA PLC,Health Care,2016-06-10,2016-06-24,addition
2016,IDI,IDI INC,Consumer Discretionary,2016-06-10,2016-06-24,addition
2016,IESC,IES HOLDINGS INC,Producer Durables,2016-06-10,2016-06-24,addition
2016,III,INFORMATION SERVICES GRP,Producer Durables,2016-06-10,2016-06-24,addition
2016,ITEK,INOTEK PHARMACEUTICALS,Health Care,2016-06-10,2016-06-24,addition
2016,NTLA,INTELLA THERAPEUTICS INC,Health Care,2016-06-10,2016-06-24,addition
2016,ITIC,INVESTORS TITLE CO,Financial Services,2016-06-10,2016-06-24,addition
2016,IRIX,IRIDEX CORP,Health Care,2016-06-10,2016-06-24,addition
2016,LSBG,LAKE SUNAPEE BANK GROUP,Financial Services,2016-06-10,2016-06-24,addition
2016,LAYN,LAYNE CHRISTENSEN CO,Producer Durables,2016-06-10,2016-06-24,addition
2016,LCNB,LCNB CORP,Financial Services,2016-06-10,2016-06-24,addition
2016,LFVN,LIFEVANTAGE CORP,Consumer Staples,2016-06-10,2016-06-24,addition
2016,LIND,LINDBLAD EXPEDITIONS INC,Consumer Discretionary,2016-06-10,2016-06-24,addition
2016,LPCN,LIPOCINE INC,Health Care,2016-06-10,2016-06-24,addition
2016,LUB,LUBYS INC,Consumer Discretionary,2016-06-10,2016-06-24,addition
2016,MCBC,MACATAWA BANK CORP,Financial Services,2016-06-10,2016-06-24,addition
2016,MJCO,MAJESCO,Technology,2016-06-10,2016-06-24,addition
2016,MN,MANNING & NAPIER INC,Financial Services,2016-06-10,2016-06-24,addition
2016,MXWL,MAXWELL TECHNOLOGIES INC,Producer Durables,2016-06-10,2016-06-24,addition
2016,MBTF,MBT FINL CORP,Financial Services,2016-06-10,2016-06-24,addition
2016,MNOV,MEDICINOVA INC,Health Care,2016-06-10,2016-06-24,addition
2016,MEET,MEETME INC,Technology,2016-06-10,2016-06-24,addition
2016,MBRG,MIDDLEBURG FINANCIAL,Financial Services,2016-06-10,2016-06-24,addition
2016,MSBI,MIDLAND STATES BANCORP,Financial Services,2016-06-10,2016-06-24,addition
2016,NERV,MINERVA NEUROSCIENCES,Health Care,2016-06-10,2016-06-24,addition
2016,MITK,MITEK SYS INC,Technology,2016-06-10,2016-06-24,addition
2016,MFSF,MUTUALFIRST FINL INC,Financial Services,2016-06-10,2016-06-24,addition
2016,NATH,NATHANS FAMOUS INC,Consumer Discretionary,2016-06-10,2016-06-24,addition
2016,NCIT,NCI INC,Technology,2016-06-10,2016-06-24,addition
2016,NIHD,NII HOLDINGS INC,Utilities,2016-06-10,2016-06-24,addition
2016,NRIM,NORTHRIM BANCORP INC,Financial Services,2016-06-10,2016-06-24,addition
2016,NMRX,NUMEREX CORP,Technology,2016-06-10,2016-06-24,addition
2016,OLBK,OLD LINE BANCSHARES INC,Financial Services,2016-06-10,2016-06-24,addition
2016,ORRF,ORRSTOWN FINL SVCS INC,Financial Services,2016-06-10,2016-06-24,addition
2016,OSG,OVERSEAS SHIPHOLDING INC,Producer Durables,2016-06-10,2016-06-24,addition
2016,ORM,OWENS RLTY MTG INC,Financial Services,2016-06-10,2016-06-24,addition
