year,ticker,company,sector,preliminary_posted,effective_date,list_kind
2022,ABCL,ABCELLERA BIOLOGICS,Health Care,2022-06-03,2022-06-24,addition
2023,ABCL,ABCELLERA BIOLOGICS,Health Care,2023-05-19,2023-06-23,deletion
2016,ABEO,ABEONA THERAPEUTICS INC,Health Care,2016-06-10,2016-06-24,deletion
2017,ABEO,ABEONA THERAPEUTICS INC,Health Care,2017-05-31,2017-06-23,addition
2021,ABEO,ABEONA THERAPEUTICS INC,Health Care,2021-06-04,2021-06-25,deletion
2018,ABR,ARBOR REALTY TRUST INC,Financial Services,2018-06-08,2018-06-22,addition
2020,ABR,ARBOR REALTY TRUST INC,Financial Services,2020-06-12,2020-06-26,addition
2016,ABTL,AUTOBYTEL INC,Technology,2016-06-10,2016-06-24,addition
2017,ABTL,AUTOBYTEL INC,Technology,2017-05-31,2017-06-23,deletion
2018,ABUS,ARBUTUS BIOPHARMA CORP,Health Care,2018-06-08,2018-06-22,addition
2021,ABUS,ARBUTUS BIOPHARMA CORP.,Health Care,2021-06-04,2021-06-25,addition
2019,ACER,ACER THERAPEUTICS INC,Health Care,2019-06-07,2019-06-28,addition
2020,ACER,ACER THERAPEUTICS INC,Health Care,2020-06-12,2020-06-26,deletion
2018,ACMR,ACM RESEARCH,Technology,2018-06-08,2018-06-22,addition
2022,ACMR,ACM RESEARCH,Technology,2022-06-03,2022-06-24,addition
2016,ACNB,ACNB CORP,Financial Services,2016-06-10,2016-06-24,addition
2021,ACNB,ACNB CORP,Financials,2021-06-04,2021-06-25,deletion
2022,ACNB,ACNB CORP.,Financials,2022-06-03,2022-06-24,addition
2020,ACRS,ACLARIS THERAPEUTICS,Health Care,2020-06-12,2020-06-26,deletion
2021,ACRS,ACLARIS THERAPEUTICS,Health Care,2021-06-04,2021-06-25,addition
2016,ACRX,ACELRX PHARMACEUTICALS,Health Care,2016-06-10,2016-06-24,addition
2017,ACRX,ACELRX PHARMACEUTICALS,Health Care,2017-05-31,2017-06-23,deletion
2019,ACRX,ACELRX PHARMACEUTICALS,Health Care,2019-06-07,2019-06-28,addition
2021,ACRX,ACELRX PHARMACEUTICALS,Health Care,2021-06-04,2021-06-25,deletion
2022,ACTG,ACACIA RESEARCH CORP,Industrials,2022-06-03,2022-06-24,deletion
2023,ACTG,ACACIA RESEARCH CORP,Industrials,2023-05-19,2023-06-23,addition
2017,ADES,ADVANCED EMISSIONS SLTNS,Producer Durables,2017-05-31,2017-06-23,addition
2021,ADES,ADVANCED EMISSIONS SLTNS,Utilities,2021-06-04,2021-06-25,deletion
2018,ADMA,ADMA BIOLOGICS INC,Health Care,2018-06-08,2018-06-22,addition
2021,ADMA,ADMA BIOLOGICS INC,Health Care,2021-06-04,2021-06-25,deletion
2022,ADMA,ADMA BIOLOGICS INC,Health Care,2022-06-03,2022-06-24,addition
2021,ADN,ADVENT TECHNOLOGIES HOLDINGS INC (A),Energy,2021-06-04,2021-06-25,addition
2022,ADN,ADVENT TECHNOLOGIES (A),Energy,2022-06-03,2022-06-24,deletion
2022,ADTH,ADTHEORENT HOLDING COMPANY INC,Technology,2022-06-03,2022-06-24,addition
2023,ADTH,ADTHEORENT HOLDING COMP,Technology,2023-05-19,2023-06-23,deletion
2017,ADVM,ADVERUM BIOTECH INC,Health Care,2017-05-31,2017-06-23,deletion
2018,ADVM,ADVERUM BIOTECH INC,Health Care,2018-06-08,2018-06-22,addition
2022,ADVM,ADVERUM BIOTECH INC,Health Care,2022-06-03,2022-06-24,deletion
2020,AE,ADAMS RESOURCES & ENERGY,Energy,2020-06-12,2020-06-26,addition
2021,AE,ADAMS RESOURCES & ENERGY,Energy,2021-06-04,2021-06-25,deletion
2016,AFMD,AFFIMED NV,Health Care,2016-06-10,2016-06-24,deletion
2019,AFMD,AFFIMED NV,Health Care,2019-06-07,2019-06-28,addition
2023,AFMD,AFFIMED NV,Health Care,2023-05-19,2023-06-23,deletion
2016,AGFS,AGROFRESH SOLUTIONS INC,Materials & Processing,2016-06-10,2016-06-24,addition
2020,AGFS,AGROFRESH SOLUTIONS INC,Materials & Processing,2020-06-12,2020-06-26,addition
2021,AGFS,AGROFRESH SOLUTIONS INC,Basic Materials,2021-06-04,2021-06-25,deletion
2018,AGLE,AEGLEA BIOTHERAPEUTICS,Health Care,2018-06-08,2018-06-22,addition
2022,AGLE,AEGLEA BIOTHERAPEUTICS,Health Care,2022-06-03,2022-06-24,deletion
2017,AGRX,AGILE THERAPEUTICS INC,Health Care,2017-05-31,2017-06-23,deletion
2020,AGRX,AGILE THERAPEUTICS INC,Health Care,2020-06-12,2020-06-26,addition
2021,AGRX,AGILE THERAPEUTICS INC,Health Care,2021-06-04,2021-06-25,deletion
2022,AGS,PLAYAGS INC,Consumer Discretionary,2022-06-03,2022-06-24,deletion
2023,AGS,PLAYAGS INC,Consumer Discretionary,2023-05-19,2023-06-23,addition
2017,AGTC,APPLIED GENETIC TECH,Health Care,2017-05-31,2017-06-23,deletion
2020,AGTC,APPLIED GENETIC TECH,Health Care,2020-06-12,2020-06-26,addition
2021,AGTC,APPLIED GENETIC TECH,Health Care,2021-06-04,2021-06-25,deletion
2020,AHT,ASHFORD HOSPITALITY,Financial Services,2020-06-12,2020-06-26,deletion
2021,AHT,ASHFORD HOSPITALITY TRUST,Real Estate,2021-06-04,2021-06-25,addition
2023,AHT,ASHFORD HOSPITALITY,Real Estate,2023-05-19,2023-06-23,deletion
2016,AINC,ASHFORD INC,Financial Services,2016-06-10,2016-06-24,deletion
2018,AINC,ASHFORD INC,Financial Services,2018-06-08,2018-06-22,addition
2019,AIRG,AIRGAIN INC,Technology,2019-06-07,2019-06-28,addition
2020,AIRG,AIRGAIN INC,Technology,2020-06-12,2020-06-26,deletion
2017,AKTS,AKOUSTIS TECHNOLOGIES,Technology,2017-05-31,2017-06-23,addition
2019,AKTS,AKOUSTIS TECHNOLOGIES,Technology,2019-06-07,2019-06-28,addition
2021,ALCO,ALICO INC,Consumer Staples,2021-06-04,2021-06-25,deletion
2022,ALCO,ALICO INC,Consumer Staples,2022-06-03,2022-06-24,addition
2018,ALDX,ALDEYRA THERAPEUTICS INC,Health Care,2018-06-08,2018-06-22,addition
2020,ALDX,ALDEYRA THERAPEUTICS INC,Health Care,2020-06-12,2020-06-26,deletion
2021,ALDX,ALDEYRA THERAPEUTICS,Health Care,2021-06-04,2021-06-25,addition
2022,ALDX,ALDEYRA THERAPEUTICS INC,Health Care,2022-06-03,2022-06-24,deletion
2023,ALDX,ALDEYRA THERAPEUTICS INC,Health Care,2023-05-19,2023-06-23,addition
2016,ALJJ,ALJ REGIONAL HOLDINGS,Producer Durables,2016-06-10,2016-06-24,addition
2017,ALJJ,ALJ REGIONAL HOLDINGS,Producer Durables,2017-05-31,2017-06-23,deletion
2022,ALLK,ALLAKOS INC,Health Care,2022-06-03,2022-06-24,deletion
2023,ALLK,ALLAKOS INC,Health Care,2023-05-19,2023-06-23,addition
2019,ALOT,ASTRONOVA INC,Technology,2019-06-07,2019-06-28,addition
2020,ALOT,ASTRONOVA INC,Technology,2020-06-12,2020-06-26,deletion
2020,ALSK,ALASKA COMMUNICATIONS,Utilities,2020-06-12,2020-06-26,addition
2021,ALSK,ALASKA COMMUNICATIONS,Telecommunications,2021-06-04,2021-06-25,deletion
2017,ALT,ALTIMMUNE INC,Health Care,2017-05-31,2017-06-23,deletion
2021,ALT,ALTIMMUNE,Health Care,2021-06-04,2021-06-25,addition
2022,ALT,ALTIMMUNE INC,Health Care,2022-06-03,2022-06-24,deletion
2023,ALT,ALTIMMUNE INC,Health Care,2023-05-19,2023-06-23,addition
2019,ALTM,ALTUS MIDSTREAM CO,Energy,2019-06-07,2019-06-28,addition
2020,ALTM,ALTUS MIDSTREAM CO,Energy,2020-06-12,2020-06-26,deletion
2021,ALTM,ALTUS MIDSTREAM COMPANY (A),Energy,2021-06-04,2021-06-25,addition
2021,ALTO,ALTO INGREDIENTS INC,Basic Materials,2021-06-04,2021-06-25,addition
2023,ALTO,ALTO INGREDIENTS INC,Basic Materials,2023-05-19,2023-06-23,deletion
2016,AMPE,AMPIO PHARMACEUTICALS,Health Care,2016-06-10,2016-06-24,addition
2017,AMPE,AMPIO PHARMACEUTICALS,Health Care,2017-05-31,2017-06-23,deletion
2018,AMPE,AMPIO PHARMACEUTICALS,Health Care,2018-06-08,2018-06-22,addition
2021,AMPE,AMPIO PHARMACEUTICALS INC.,Health Care,2021-06-04,2021-06-25,addition
2022,AMPE,AMPIO PHARMACEUTICALS,Health Care,2022-06-03,2022-06-24,deletion
2020,AMPY,AMPLIFY ENERGY CORP,Energy,2020-06-12,2020-06-26,deletion
2022,AMPY,AMPLIFY ENERGY,Energy,2022-06-03,2022-06-24,addition
2018,AMR,ALTA MESA RESOURCES (A),Energy,2018-06-08,2018-06-22,addition
2022,AMR,ALPHA METALLURGICAL RESOURCES INC,Energy,2022-06-03,2022-06-24,addition
2016,AMSC,AMERICAN SUPERCONDUCTOR,Producer Durables,2016-06-10,2016-06-24,addition
2017,AMSC,AMERICAN SUPERCONDUCTOR,Producer Durables,2017-05-31,2017-06-23,deletion
2019,AMSC,AMERICAN SUPERCONDUCTOR,Producer Durables,2019-06-07,2019-06-28,addition
2022,AMSC,AMERICAN SUPERCONDUCTOR,Energy,2022-06-03,2022-06-24,deletion
2021,AMTX,AEMETIS,Energy,2021-06-04,2021-06-25,addition
2023,AMTX,AEMETIS,Energy,2023-05-19,2023-06-23,deletion
2022,ANNX,ANNEXON,Health Care,2022-06-03,2022-06-24,deletion
2023,ANNX,ANNEXON,Health Care,2023-05-19,2023-06-23,addition
2022,ANTX,AN2 THERAPEUTICS,Health Care,2022-06-03,2022-06-24,addition
2023,ANTX,AN2 THERAPEUTICS,Health Care,2023-05-19,2023-06-23,deletion
2016,AOI,ALLIANCE ONE INTL INC,Consumer Staples,2016-06-10,2016-06-24,addition
2017,AOI,ALLIANCE ONE INTL INC,Consumer Staples,2017-05-31,2017-06-23,deletion
2018,AOI,ALLIANCE ONE INTL INC,Consumer Staples,2018-06-08,2018-06-22,addition
2021,APPH,APPHARVEST INC,Consumer Staples,2021-06-04,2021-06-25,addition
2023,APPH,APPHARVEST INC,Consumer Staples,2023-05-19,2023-06-23,deletion
2016,APPS,DIGITAL TURBINE INC,Technology,2016-06-10,2016-06-24,deletion
2019,APPS,DIGITAL TURBINE INC,Technology,2019-06-07,2019-06-28,addition
