year,ticker,list_kind,priced,entry_date,exit_date,price_col,return,benchmark_ret,abnormal_ret
2022,ABCL,addition,True,2022-06-06,2022-06-24,adjClose,0.38852672750977835,-0.06551746377655376,0.4540441912863321
2023,ABCL,deletion,True,2023-05-22,2023-06-23,adjClose,0.10590015128593033,0.01571050492389836,0.09018964636203197
2016,ABEO,deletion,True,2016-06-13,2016-06-24,adjClose,-0.1466666666666666,-0.019684696454071005,-0.1269819702125956
2017,ABEO,addition,True,2017-06-01,2017-06-23,adjClose,0.09090909090909083,0.014105793450912563,0.07680329745817827
2021,ABEO,deletion,True,2021-06-07,2021-06-25,adjClose,-0.028735632183908066,0.009467139915354084,-0.03820277209926215
2018,ABR,addition,True,2018-06-11,2018-06-22,adjClose,0.026639344248589936,0.0062960964203993,0.020343247828190636
2020,ABR,addition,True,2020-06-15,2020-06-26,adjClose,-0.03941908714877007,-0.030640470954920174,-0.008778616193849897
2016,ABTL,addition,True,2016-06-13,2016-06-24,adjClose,-0.011808118081180874,-0.019684696454071005,0.00787657837289013
2017,ABTL,deletion,True,2017-06-01,2017-06-23,adjClose,0.04720692368213997,0.014105793450912563,0.033101130231227405
2018,ABUS,addition,True,2018-06-11,2018-06-22,adjClose,0.1428571428571428,0.0062960964203993,0.1365610464367435
2021,ABUS,addition,True,2021-06-07,2021-06-25,adjClose,0.030581039755351647,0.009467139915354084,0.021113899839997563
2019,ACER,addition,True,2019-06-10,2019-06-28,adjClose,-0.7598522167487685,0.028299177250638685,-0.7881513939994071
2020,ACER,deletion,True,2020-06-15,2020-06-26,adjClose,0.06024096385542177,-0.030640470954920174,0.09088143481034194
2018,ACMR,addition,True,2018-06-11,2018-06-22,adjClose,-0.017241379302642912,0.0062960964203993,-0.02353747572304221
2022,ACMR,addition,True,2022-06-06,2022-06-24,adjClose,0.009836065573770592,-0.06551746377655376,0.07535352935032436
2016,ACNB,addition,True,2016-06-13,2016-06-24,adjClose,0.012083333331045942,-0.019684696454071005,0.03176802978511695
2021,ACNB,deletion,True,2021-06-07,2021-06-25,adjClose,0.004661168876281874,0.009467139915354084,-0.00480597103907221
2022,ACNB,addition,True,2022-06-06,2022-06-24,adjClose,-0.1117478510041926,-0.06551746377655376,-0.046230387227638836
2020,ACRS,deletion,True,2020-06-15,2020-06-26,adjClose,0.020689655172413834,-0.030640470954920174,0.05133012612733401
2021,ACRS,addition,True,2021-06-07,2021-06-25,adjClose,-0.20509383378016088,0.009467139915354084,-0.21456097369551497
2016,ACRX,addition,False,,,,,,
2017,ACRX,deletion,False,,,,,,
2019,ACRX,addition,False,,,,,,
2021,ACRX,deletion,False,,,,,,
2022,ACTG,deletion,True,2022-06-06,2022-06-24,adjClose,0.15668202764976957,-0.06551746377655376,0.22219949142632334
2023,ACTG,addition,True,2023-05-22,2023-06-23,adjClose,0.050761421319796884,0.01571050492389836,0.035050916395898524
2017,ADES,addition,False,,,,,,
2021,ADES,deletion,False,,,,,,
2018,ADMA,addition,True,2018-06-11,2018-06-22,adjClose,0.05818965517241392,0.0062960964203993,0.051893558752014624
2021,ADMA,deletion,True,2021-06-07,2021-06-25,adjClose,-0.022727272727272707,0.009467139915354084,-0.03219441264262679
2022,ADMA,addition,True,2022-06-06,2022-06-24,adjClose,0.03191489361702127,-0.06551746377655376,0.09743235739357503
2021,ADN,addition,True,2021-06-07,2021-06-25,adjClose,-0.09055501460564763,0.009467139915354084,-0.10002215452100172
