rebalance_date,top_sic_group,top_share
2015-01-01,36,0.13043478260869565
2015-04-01,36,0.11764705882352941
2015-07-01,36,0.14666666666666667
2015-10-01,36,0.1375
2016-01-01,36,0.10526315789473684
2016-04-01,36,0.13157894736842105
2016-07-01,28,0.1282051282051282
2016-10-01,28,0.1095890410958904
2017-01-01,28,0.09722222222222222
2017-04-01,28,0.10666666666666667
2017-07-01,28,0.0875
2017-10-01,13,0.08
2018-01-01,35,0.08974358974358974
2018-04-01,36,0.125
2018-07-01,28,0.12048192771084337
2018-10-01,28,0.1375
2019-01-01,36,0.11235955056179775
2019-04-01,28,0.10843373493975904
2019-07-01,13,0.1411764705882353
2019-10-01,13,0.1686746987951807
2020-01-01,13,0.1518987341772152
2020-04-01,13,0.14432989690721648
2020-07-01,13,0.13043478260869565
2020-10-01,13,0.14285714285714285
