date,ticker,max_distress,weighted_distress
2010-01-01,BOOT,0.016529,0.003306
2010-01-01,CARD,0.038142,0.005449
2010-01-01,CRST,0.340759,0.043947
2010-01-01,DFS,0.0,0.0
2010-01-01,ECEL,0.110118,0.01731
2010-01-01,FORT,0.153518,0.042511
2010-01-01,FOXT,0.069676,0.023225
2010-01-01,FSTA,0.0,0.0
2010-01-01,GYM,0.472121,0.052458
2010-01-01,HEAD,0.01105,0.001842
2010-01-01,HFD,0.403494,0.056517
2010-01-01,LSL,0.503415,0.079636
2010-01-01,MACF,0.00554,0.001385
2010-01-01,MARS,0.619651,0.102645
2010-01-01,MER,0.00554,0.000504
2010-01-01,MJG,0.340759,0.043947
2010-01-01,NXR,0.403494,0.075474
2010-01-01,OTB,0.158208,0.020698
2010-01-01,SDY,0.403494,0.087351
2010-01-01,SFR,1.0,0.195184
2010-01-01,SHI,0.158208,0.05469
2010-01-01,VP,0.403494,0.087351
2010-01-08,BOOT,0.016529,0.003306
2010-01-08,CARD,0.038142,0.005449
2010-01-08,CRST,0.340759,0.043947
2010-01-08,DFS,0.0,0.0
2010-01-08,ECEL,0.110118,0.01731
2010-01-08,FORT,0.153518,0.042511
2010-01-08,FOXT,0.069676,0.023225
2010-01-08,FSTA,0.0,0.0
2010-01-08,GYM,0.492256,0.054695
2010-01-08,HEAD,0.01105,0.001842
2010-01-08,HFD,0.426247,0.059045
2010-01-08,LSL,0.503415,0.079636
2010-01-08,MACF,0.043471,0.006126
2010-01-08,MARS,0.619651,0.104908
2010-01-08,MER,0.043471,0.003952
2010-01-08,MJG,0.340759,0.043947
2010-01-08,NXR,0.426247,0.078725
2010-01-08,OTB,0.158208,0.020698
2010-01-08,SDY,0.426247,0.090195
2010-01-08,SFR,1.0,0.195184
2010-01-08,SHI,0.158208,0.05469
2010-01-08,VP,0.426247,0.090195
2010-01-15,BOOT,0.016529,0.003306
2010-01-15,CARD,0.038142,0.005449
2010-01-15,CRST,0.340759,0.043947
2010-01-15,DFS,0.0,0.0
2010-01-15,ECEL,0.110118,0.01731
2010-01-15,FORT,0.153518,0.042511
2010-01-15,FOXT,0.064493,0.021498
2010-01-15,FSTA,0.0,0.0
2010-01-15,GYM,0.511623,0.056847
2010-01-15,HEAD,0.01105,0.001842
2010-01-15,HFD,0.448131,0.061477
2010-01-15,LSL,0.503415,0.079636
2010-01-15,MACF,0.079956,0.010687
2010-01-15,MARS,0.619651,0.107084
2010-01-15,MER,0.079956,0.007269
2010-01-15,MJG,0.340759,0.043947
2010-01-15,NXR,0.448131,0.081851
2010-01-15,OTB,0.158208,0.020698
2010-01-15,SDY,0.441965,0.09216
2010-01-15,SFR,1.0,0.195184
2010-01-15,SHI,0.158208,0.05469
2010-01-15,VP,0.441965,0.09216
2010-01-22,BOOT,0.016529,0.003306
2010-01-22,CARD,0.038142,0.005449
2010-01-22,CRST,0.340759,0.043947
2010-01-22,DFS,0.0,0.0
2010-01-22,ECEL,0.110118,0.01731
2010-01-22,FORT,0.153518,0.042511
2010-01-22,FOXT,0.064493,0.021498
2010-01-22,FSTA,0.0,0.0
2010-01-22,GYM,0.53025,0.058917
2010-01-22,HEAD,0.01105,0.001842
2010-01-22,HFD,0.469181,0.063816
2010-01-22,LSL,0.503415,0.079636
2010-01-22,MACF,0.115048,0.015074
2010-01-22,MARS,0.619651,0.109177
2010-01-22,MER,0.115048,0.010459
2010-01-22,MJG,0.340759,0.043947
2010-01-22,NXR,0.469181,0.084858
2010-01-22,OTB,0.090122,0.013889
2010-01-22,SDY,0.441965,0.09216
