source,event_date,ticker,trigger,note,score_at_event,entry_date,n_days,car_21,car_63,car_126
known,2023-01-31,CARD,Paperchase,Paperchase administration Jan 2023 — stationery/greetings sector,,2023-02-01,849,0.069124,0.153065,-0.000756
known,2023-06-01,HEAD,CPR Realisations Ltd,Carpetright administration Jun 2023 — flooring/carpets sector,,2023-06-02,767,0.018344,-0.108557,-0.257477
known,2024-08-01,HEAD,CTD Tiles,CTD Tiles administration Aug 2024 — tiles/flooring sector,,2024-08-02,470,0.030226,-0.115235,-0.042092
known,2025-01-01,MARS,Loungers plc,Loungers go-private Jan 2025 — café-bar removes listed competitor,,2025-01-02,365,-0.04349,-0.098481,-0.079591
known,2025-01-01,FSTA,Loungers plc,Loungers go-private Jan 2025 — pub/bar sector,,2025-01-02,365,-0.067646,-0.011562,-0.078963
auto,2013-01-11,HFD,max_distress crossed 0.35,,0.3659,2013-01-14,3389,0.048266,-0.028395,-0.090593
auto,2013-01-25,BOOT,max_distress crossed 0.35,,1.0,2013-01-28,3379,0.027953,0.069609,-0.02749
auto,2014-06-13,MARS,max_distress crossed 0.35,,1.0,2014-06-16,3031,0.027673,0.022709,0.043249
auto,2014-09-19,LSL,max_distress crossed 0.35,,0.3624,2014-09-22,2962,-0.075837,-0.192913,-0.183192
auto,2015-10-30,ECEL,max_distress crossed 0.35,,1.0,2015-11-02,2680,-0.049794,-0.090141,-0.120313
auto,2015-10-30,OTB,max_distress crossed 0.35,,1.0,2015-11-02,2680,-0.143496,0.45577,0.318142
auto,2016-03-18,BOOT,max_distress crossed 0.35,,1.0,2016-03-21,2583,0.010881,-0.016489,0.02024
auto,2016-03-18,GYM,max_distress crossed 0.35,,0.3517,2016-03-21,2583,0.083258,-0.157896,-0.109865
auto,2016-07-01,DFS,max_distress crossed 0.35,,1.0,2016-07-04,2512,-0.00536,0.161443,-0.006048
auto,2017-06-02,MER,max_distress crossed 0.35,,1.0,2017-06-05,2280,-0.042965,-0.127014,-0.154008
auto,2017-12-15,FORT,max_distress crossed 0.35,,1.0,2017-12-18,2141,-0.059553,0.057478,0.005863
auto,2018-05-04,NXR,max_distress crossed 0.35,,1.0,2018-05-08,2046,0.045941,0.146162,0.183642
auto,2018-08-31,MARS,max_distress crossed 0.35,,0.6937,2018-09-03,1964,0.079144,0.194932,0.135803
auto,2018-12-21,GYM,max_distress crossed 0.35,,0.3659,2018-12-24,1884,-0.234818,-0.237267,-0.162245
auto,2020-03-27,NXR,max_distress crossed 0.35,,0.3588,2020-03-30,1565,0.119144,-0.071242,-0.012218
auto,2020-07-17,CRST,max_distress crossed 0.35,,0.3517,2020-07-20,1489,-0.075559,0.163357,0.084578
auto,2020-08-21,DFS,max_distress crossed 0.35,,0.3659,2020-08-24,1464,0.159103,0.215097,0.061202
auto,2020-09-18,CARD,max_distress crossed 0.35,,0.3588,2020-09-21,1445,-0.094293,-0.124897,0.200039
auto,2020-09-18,HEAD,max_distress crossed 0.35,,0.3588,2020-09-21,1445,0.010001,0.035812,0.029866
auto,2020-09-18,LSL,max_distress crossed 0.35,,0.3588,2020-09-21,1445,0.035049,-0.117509,-0.171908
auto,2020-12-18,ECEL,max_distress crossed 0.35,,0.3552,2020-12-21,1380,-0.00157,-0.096698,-0.033753
auto,2020-12-18,HFD,max_distress crossed 0.35,,0.3552,2020-12-21,1380,0.075974,0.070966,0.206521
