date,n_positions,portfolio_return,basket_return,abnormal_return,equity
2010-01-01,0,0.0,0.0,0.0,1.0
2010-01-08,0,0.0,0.027109,0.0,1.0
2010-01-15,0,0.0,0.008081,0.0,1.0
2010-01-22,0,0.0,-0.007224,0.0,1.0
2010-01-29,0,0.0,-0.001741,0.0,1.0
2010-02-05,0,0.0,-0.037657,0.0,1.0
2010-02-12,0,0.0,-0.001285,0.0,1.0
2010-02-19,0,0.0,0.015339,0.0,1.0
2010-02-26,0,0.0,0.020095,0.0,1.0
2010-03-05,0,0.0,0.023429,0.0,1.0
2010-03-12,0,0.0,-0.010519,0.0,1.0
2010-03-19,0,0.0,0.028382,0.0,1.0
2010-03-26,0,0.0,-0.002076,0.0,1.0
2010-04-02,0,0.0,0.003512,0.0,1.0
2010-04-09,0,0.0,0.018121,0.0,1.0
2010-04-16,0,0.0,0.056766,0.0,1.0
2010-04-23,0,0.0,0.017536,0.0,1.0
2010-04-30,0,0.0,-0.004382,0.0,1.0
2010-05-07,0,0.0,-0.066877,0.0,1.0
2010-05-14,0,0.0,0.048685,0.0,1.0
2010-05-21,0,0.0,-0.059079,0.0,1.0
2010-05-28,1,0.003228,-0.003228,0.003228,1.003228
2010-06-04,1,-0.00773,0.00773,-0.00773,0.995473
2010-06-11,0,0.0,-0.012341,0.0,0.995473
2010-06-18,0,0.0,-0.005057,0.0,0.995473
2010-06-25,0,0.0,-0.012052,0.0,0.995473
2010-07-02,0,0.0,-0.022129,0.0,0.995473
2010-07-09,0,0.0,0.033842,0.0,0.995473
2010-07-16,0,0.0,-0.015363,0.0,0.995473
2010-07-23,0,0.0,0.008327,0.0,0.995473
2010-07-30,0,0.0,-0.003197,0.0,0.995473
2010-08-06,0,0.0,0.020085,0.0,0.995473
2010-08-13,0,0.0,-0.027995,0.0,0.995473
2010-08-20,0,0.0,-0.00059,0.0,0.995473
2010-08-27,0,0.0,-0.005893,0.0,0.995473
2010-09-03,0,0.0,0.017205,0.0,0.995473
2010-09-10,0,0.0,0.030122,0.0,0.995473
2010-09-17,0,0.0,-0.021673,0.0,0.995473
2010-09-24,0,0.0,0.005252,0.0,0.995473
2010-10-01,0,0.0,0.001017,0.0,0.995473
2010-10-08,0,0.0,0.017078,0.0,0.995473
2010-10-15,0,0.0,0.013304,0.0,0.995473
2010-10-22,0,0.0,0.009844,0.0,0.995473
2010-10-29,0,0.0,0.012486,0.0,0.995473
2010-11-05,0,0.0,0.018913,0.0,0.995473
2010-11-12,0,0.0,0.000883,0.0,0.995473
2010-11-19,0,0.0,0.001279,0.0,0.995473
2010-11-26,0,0.0,-0.014653,0.0,0.995473
2010-12-03,0,0.0,0.013187,0.0,0.995473
2010-12-10,0,0.0,0.057354,0.0,0.995473
2010-12-17,0,0.0,0.032599,0.0,0.995473
2010-12-24,0,0.0,0.019138,0.0,0.995473
2010-12-31,0,0.0,0.014513,0.0,0.995473
2011-01-07,0,0.0,0.011455,0.0,0.995473
2011-01-14,0,0.0,0.002605,0.0,0.995473
2011-01-21,0,0.0,-0.005785,0.0,0.995473
2011-01-28,0,0.0,-0.018694,0.0,0.995473
2011-02-04,0,0.0,-0.000524,0.0,0.995473
2011-02-11,0,0.0,0.003944,0.0,0.995473
2011-02-18,0,0.0,-0.009567,0.0,0.995473
2011-02-25,0,0.0,-0.015528,0.0,0.995473
2011-03-04,0,0.0,0.003217,0.0,0.995473
2011-03-11,0,0.0,-0.006875,0.0,0.995473
2011-03-18,0,0.0,-0.031373,0.0,0.995473
2011-03-25,0,0.0,0.033013,0.0,0.995473
2011-04-01,0,0.0,-0.000786,0.0,0.995473
2011-04-08,0,0.0,0.005703,0.0,0.995473
2011-04-15,0,0.0,0.006008,0.0,0.995473
2011-04-22,0,0.0,0.008401,0.0,0.995473
2011-04-29,0,0.0,0.030722,0.0,0.995473
2011-05-06,0,0.0,-0.000195,0.0,0.995473
2011-05-13,0,0.0,0.009536,0.0,0.995473
2011-05-20,0,0.0,0.014615,0.0,0.995473
2011-05-27,0,0.0,-0.009872,0.0,0.995473
2011-06-03,0,0.0,-0.001221,0.0,0.995473
2011-06-10,0,0.0,0.010758,0.0,0.995473
2011-06-17,0,0.0,-0.006369,0.0,0.995473
2011-06-24,0,0.0,-0.001785,0.0,0.995473
2011-07-01,0,0.0,0.003465,0.0,0.995473
2011-07-08,0,0.0,-0.01134,0.0,0.995473
2011-07-15,0,0.0,-0.015797,0.0,0.995473
2011-07-22,0,0.0,-0.007695,0.0,0.995473
2011-07-29,0,0.0,-0.020846,0.0,0.995473
2011-08-05,0,0.0,-0.075723,0.0,0.995473
2011-08-12,0,0.0,0.004044,0.0,0.995473
2011-08-19,0,0.0,-0.046964,0.0,0.995473
2011-08-26,0,0.0,-0.003881,0.0,0.995473
2011-09-02,0,0.0,0.039796,0.0,0.995473
2011-09-09,0,0.0,-0.01955,0.0,0.995473
2011-09-16,0,0.0,0.001718,0.0,0.995473
2011-09-23,0,0.0,-0.018596,0.0,0.995473
2011-09-30,0,0.0,-0.011678,0.0,0.995473
2011-10-07,0,0.0,-0.01186,0.0,0.995473
2011-10-14,0,0.0,0.026599,0.0,0.995473
2011-10-21,0,0.0,-0.011223,0.0,0.995473
2011-10-28,0,0.0,0.022445,0.0,0.995473
2011-11-04,0,0.0,-0.015903,0.0,0.995473
2011-11-11,0,0.0,-0.034479,0.0,0.995473
2011-11-18,0,0.0,0.020672,0.0,0.995473
2011-11-25,0,0.0,-0.039849,0.0,0.995473
2011-12-02,0,0.0,0.038054,0.0,0.995473
2011-12-09,0,0.0,-0.015302,0.0,0.995473
2011-12-16,0,0.0,-0.026278,0.0,0.995473
2011-12-23,2,-0.009067,0.009067,-0.009067,0.986446
2011-12-30,2,-0.023362,0.023362,-0.023362,0.963401
2012-01-06,2,0.000573,-0.000573,0.000573,0.963954
2012-01-13,2,-0.033709,0.033709,-0.033709,0.931459
2012-01-20,2,-0.034073,0.034073,-0.034073,0.899722
