ticker,n_competitors,n_distressed,pct_distressed,avg_distress_score,max_distress_score,most_distressed_co,most_distressed_num,signal
BOOT,5,0,0.0,0.0,0.0,Henry Boot PLC,00160996,
CARD,7,0,0.0,0.0069,0.0364,Scribbler Cards Limited,12796326,
CRST,15,0,0.0,0.016,0.2181,Avant Homes Group Limited,03215228,
DFS,8,0,0.0,0.013,0.1043,IKEA Limited,01986283,
ECEL,7,0,0.0,0.0,0.0,Eurocell plc,08654028,
FORT,7,0,0.0,0.0094,0.0449,Michelmersh Brick Holdings plc,03433257,
FOXT,6,0,0.0,0.0051,0.0307,Chestertons Limited,12071118,
FSTA,4,0,0.0,0.0798,0.18,Urban Pubs and Bars Limited,15449818,
GYM,9,0,0.0,0.0,0.0,The Gym Group plc,08528493,
HEAD,6,1,0.167,0.1395,0.837,CPR Realisations Limited,02294875,
HFD,9,0,0.0,0.0163,0.114,Evans Cycles Limited,11577650,
LSL,8,0,0.0,0.0417,0.3263,Spicerhaart Limited,SC605833,
MACF,8,0,0.0,0.0122,0.0932,Fencor Packaging Group Limited,03837995,
MARS,10,0,0.0,0.0,0.0,Marston's PLC,00031461,
MER,11,0,0.0,0.0014,0.0156,Sureserve Group plc,14843644,
MJG,15,0,0.0,0.016,0.2181,Avant Homes Group Limited,03215228,
NXR,7,0,0.0,0.0396,0.1052,Ideal Standard Limited,00533523,
OTB,10,0,0.0,0.017,0.1151,Secret Escapes Limited,07026107,
SDY,8,0,0.0,0.0108,0.0866,Boels Rental Limited,03542206,
SFR,7,0,0.0,0.0006,0.0022,Severfield plc,01721262,
SHI,7,0,0.0,0.0014,0.0066,Huws Gray Limited,02506633,
VP,8,0,0.0,0.0108,0.0866,Boels Rental Limited,03542206,
